店名,情報,リンク
ゲーマーズ沼津店,メンバー／津島善子 住所／沼津市添地町72青秀ビル1階 営業時間／平日 11:00～20:00 土日祝 10:00～20:00 定休日／なし 店舗のホームページを見る,
安田屋旅館,メンバー／高海千歌 住所／沼津市内浦三津19 営業時間／12:00～20:00 定休日／不定休 店舗のホームページを見る,
松月,メンバー／国木田花丸 住所／沼津市内浦88-36 営業時間／10:00～17:00 定休日／火・水曜日 店舗のホームページを見る,
SUN!SUN!サンシャインCAFE（雄大フェスタ）,メンバー／黒澤ダイヤ 住所／沼津市大手町3-1-1 営業時間／平日 11:00～20:30 土日祝 10:00～20:30 定休日／なし 店舗のホームページを見る,
オーシャンビューフジミ,メンバー／松浦果南 住所／沼津市西浦江梨993 営業時間／平日 10:30～14:30 土日祝 10:00～14:30 定休日／なし 店舗のホームページを見る,
淡島ホテル,メンバー／小原鞠莉 住所／沼津市内浦重寺186 営業時間／9:30～17:00（最終入園15:30） 定休日／なし 店舗のホームページを見る,
伊豆三津シーパラダイス,メンバー／渡辺曜 住所／沼津市内浦長浜3-1 営業時間／9:00～17:00（最終入館16:00） 定休日／なし 店舗のホームページを見る,
三の浦総合案内所,メンバー／黒澤ルビィ 住所／沼津市内浦長浜83-124 営業時間／9:00～16:00  定休日／なし,
千鳥観光汽船㈱,メンバー／桜内梨子 住所／沼津市内浦三津43-7 営業時間／8:00～17:00 定休日／なし 店舗のホームページを見る,
JAなんすん（沼津みなと新鮮館内）,メンバー／高海千歌 住所／沼津市千本港町128-1　沼津みなと新鮮館内 営業時間／9:30～16:30 定休日／第2第4火曜日 店舗のホームページを見る,
あわしまマリンパーク,メンバー／松浦果南 住所／沼津市内浦重寺186 営業時間／9:30～17:00（最終入園15:30） 定休日／なし 店舗のホームページを見る,
つじ写真館,メンバー／津島善子 住所／沼津市上土町36 営業時間／平日　9:30～19:00 日祝　9:30～18:00 定休日／水曜日 店舗のホームページを見る,
JEWELRY＆WATCH 市川,メンバー／黒澤ダイヤ 住所／沼津市上土町100-1 営業時間／10:00～19:00 定休日／水曜日 ,
浜忠,メンバー／黒澤ルビィ 住所／沼津市上土町80 営業時間／昼　11:30～15:00 夜　17:00～22:00 定休日／月曜日 ※スタンプ店内設置の為、営業時間内にお越しください。 店舗のホームページを見る,
旅館　浜の家,メンバー／小原鞠莉 住所／沼津市内浦三津42-3 営業時間／11:00～15:00 定休日／なし 店舗のホームページを見る,
マルサン書店,メンバー／国木田花丸 住所／沼津市大手町5-3-13 営業時間／10:00～19:00 定休日／元旦 店舗のホームページを見る,
仲見世商店街,メンバー／渡辺曜 住所／沼津市大手町5丁目8-1 営業時間／10:00～19:00 定休日／なし 店舗のホームページを見る,
モスバーガー 富士急沼津店,メンバー／桜内梨子 住所／沼津市大手町3丁目2-1 富士急百貨店1階 営業時間／7:00～22:00 定休日／なし 店舗のホームページを見る,
セブンイレブン 伊豆・三津シーパラダイス前店,メンバー／桜内梨子 住所／沼津市内浦三津46 営業時間／24時間営業 定休日／なし ,
駿陽荘 やま弥,メンバー／国木田花丸 住所／沼津市西浦平沢92-4 営業時間／9:30～17:00 定休日／水曜日 店舗のホームページを見る,
東海バスオレンジシャトル,メンバー／高海千歌 住所／沼津市大手町1-1-3　沼津商連ビル1F 営業時間／平日　9:30～18:00 土曜日　9:30～17:00 定休日／日曜日・祝日・12/30～1/3 ※スタンプは東海バストラベル沼津駅前案内所に設置してあります。 店舗のホームページを見る,
大瀬館,メンバー／黒澤ルビィ 住所／沼津市西浦江梨325-1 営業時間／8:00～18:00 定休日／なし 店舗のホームページを見る,
グランマ,メンバー／津島善子 住所／沼津市上土町63 営業時間／10:00～19:00 定休日／水曜日 店舗のホームページを見る,
びゅうお,メンバー／小原鞠莉 住所／沼津市本字千本1905-27 営業時間／10:00～20:00（木曜日は14:00まで） 定休日／なし(施設メンテナンスによる休館あり) ※スタンプは北側1階チケット販売所に設置してあります。 店舗のホームページを見る,
欧蘭陀館,メンバー／渡辺曜 住所／沼津市下河原町1146-33 営業時間／9:00～21:00 定休日／月曜日(祝日の場合は翌日) ,
伊豆箱根鉄道,メンバー／松浦果南 住所／伊豆の国市南条773-2 営業時間／7:00～19:00 定休日／なし 店舗のホームページを見る ,
内浦漁業直営 いけすや,メンバー／黒澤ダイヤ 住所／沼津市内浦小海30-103 営業時間／9:00～16:00 定休日／水曜日 店舗のホームページを見る,
HAMBURGER & CAFE 沼津バーガー,メンバー／津島善子 住所／沼津市千本港町83-1 営業時間／月水木金 9:00～18:00 火曜日 9:00～17:00 土日祝 9:00～20:00 定休日／なし,
すしの磯丸 沼津みなと店,メンバー／松浦果南 住所／沼津市千本港町97 営業時間／9:00～18:00 定休日／不定休 ※閉店により、スタンプ及び缶バッジの販売は平成30年5月31日をもって終了しました。 店舗のホームページを見る,
沼津港 魚永,メンバー／国木田花丸 住所／沼津市千本港町109 営業時間／8:00～19:00 定休日／なし 店舗のホームページを見る,
ほさか,メンバー／黒澤ダイヤ 住所／沼津市大手町5-2-9 営業時間／10:00～19:00 （6月～9月 10:00～20:00） 定休日／なし 店舗のホームページを見る,
マルサンホビー,メンバー／小原鞠莉 住所／沼津市上土町66 営業時間／10:00～20:00 定休日／不定休 店舗のホームページを見る,
イシバシプラザ,メンバー／桜内梨子 住所／沼津市高島本町1-5 営業時間／10:00～20:00 定休日／なし 店舗のホームページを見る,
魚がし鮨 流れ鮨沼津店,メンバー／黒澤ルビィ 住所／沼津市大手町1-1-6 イーラde 3F 営業時間／平日 11:00～21:30 土日・祝日 11:00～22:00 定休日／なし 店舗のホームページを見る,
沼津駅ビル アントレ,メンバー／渡辺曜 住所／沼津市大手町1-1-1 営業時間／9:00～20:00 定休日／なし ※スタンプは1階 水口園茶店に設置してあります。 店舗のホームページを見る,
マルカ,メンバー／高海千歌 住所／沼津市内浦重須305-8 営業時間／8:00～16:00 定休日／なし ,
TONY'S HONOLULU,メンバー／津島善子 住所／沼津市千本港町128-3  沼津魚市場INO 2F 営業時間／11：00～22：00 定休日／なし店舗のホームページを見る,
沼津アーケード名店街,メンバー／黒澤ルビィ 住所／沼津市町方町111 営業時間／10：00～18：00 定休日／土曜・日曜・祝日 ※スタンプは、NPO法人SIDAMに設置してあります。 店舗のホームページを見る,
布澤呉服店,メンバー／桜内梨子 住所／沼津市上土町100-1 営業時間／10：00～18：00 定休日／水曜日 ,
大黒屋,メンバー／国木田花丸 住所／沼津市町方町71 営業時間／9：30～19：00 定休日／水曜日 ,
マルキュウ魚健,メンバー／渡辺曜 住所／沼津市千本港町124 営業時間／9：00～15：00 定休日／火曜日,
阿見屋パーキング,メンバー／高海千歌 住所／沼津市上土町1-1 営業時間／平日・土曜　8：00～21：00 土・日曜日　10：00～19：00 定休日／なし ※スタンプ及び缶バッジの販売は平成31年3月31日をもって終了しました。 ,
ファミリーマート沼津下香貫店,メンバー／松浦果南 住所／沼津市下香貫2973-6 営業時間／24時間営業 定休日／なし ,
食堂・ひもの販売　あじや,メンバー／小原鞠莉 住所／沼津市千本港町128-1　 沼津みなと新鮮館内 営業時間／9：00～16：00 定休日／第二・第四火曜日 店舗のホームページを見る ,
ふみ野,メンバー／黒澤ダイヤ 住所／沼津市千本港町109 ダイレイビル1F 営業時間／6：00～15：00 定休日／火曜日 ,
とさわや,メンバー／津島善子 住所／沼津市内浦三津88-15 営業時間／11：00～17：00 定休日／火曜日 店舗のホームページを見る ,
ＯＨ！ＭＯＳ(農業組合法人おもす),メンバー／国木田花丸 住所／沼津市内浦重須14-10 営業時間／8：30～17：00 定休日／なし 店舗のホームページを見る ,
海のステージ。,メンバー／渡辺曜 住所／沼津市西浦木負768-9 営業時間／10：00～18：00 定休日／木曜日 店舗のホームページを見る ,
辻宗商店,メンバー／国木田花丸 住所／沼津市内浦三津538 営業時間／8：00～18：00 定休日／火曜日 ,
赤から　沼津店,メンバー／黒澤ルビィ 住所／沼津市米山町1-5 営業時間／11：00～26：00 定休日／なし 店舗のホームページを見る ,
海鮮丼と魚河岸定食　かもめ丸,メンバー／黒澤ダイヤ 住所／沼津市千本港町101 千本一ビル1階 営業時間／11：00～15：00、 17：00～21：00 定休日／水曜日（祝日は営業、翌日振替休業） 店舗のホームページを見る ,
総合事務用品フヂイ,メンバー／津島善子 住所／沼津市通横町6 営業時間／9：00～18：00 定休日／日曜日 ,
リヴァージュ洋菓子店,メンバー／高海千歌 住所／沼津市下香貫柿原2885-2 営業時間／10：00～18：00 定休日／なし 店舗のホームページを見る ,
ロットン,メンバー／桜内梨子 住所／沼津市上土町10 営業時間／10:00～18:00 定休日／不定休 店舗のホームページを見る ,
沼津グランドホテル,メンバー／高海千歌 住所／沼津市大手町3丁目6-12 営業時間／年中無休 定休日／なし 店舗のホームページを見る ,
アキシン商店,メンバー／小原鞠莉 住所／沼津市内浦重寺26-5 営業時間／10:00～17:00 定休日／土曜日,
アベリー,メンバー／津島善子 住所／沼津市大手町5丁目7番5号 仲見世セゾンビル1階E号室 営業時間／11:00～22:00 定休日／不定休 ,
沼津・湯河原温泉 万葉の湯,メンバー／松浦果南 住所／沼津市岡宮1208-1 営業時間／24時間営業 定休日／臨時休館有 店舗のホームページを見る ,
マルニ茶業　沼津みなと新鮮館,メンバー／国木田花丸 住所／沼津市千本港町128-1　沼津みなと新鮮館内 営業時間／9:00～16:00 定休日／第2･4火曜日 店舗のホームページを見る ,
アニメイト　沼津店,メンバー／渡辺曜 住所／沼津市大手町5-9-21 マルトモビル1F 営業時間／月～金　 11:00～20：00 土日祝　11：00～19：00 定休日／なし 店舗のホームページを見る ,
松浦酒店,メンバー／松浦果南 住所／沼津市大手町3-9-1 営業時間／9:30～19:30 定休日／毎週水曜日 店舗のホームページを見る ,
沼津リバーサイドホテル,メンバー／津島善子 住所／沼津市上土町100-1 営業時間／年中無休 定休日／なし 店舗のホームページを見る ,
おさかな食堂やまや,メンバー／黒澤ルビィ 住所／沼津市内浦三津199-4 営業時間／11:00～15:00、17:00～19:30 ※予約により変更あり 定休日／不定休 ,
大田呉服店,メンバー／桜内梨子 住所／沼津市高島町3-3 営業時間／10:00～19:00 定休日／火曜日 店舗のホームページを見る ,
旅館　はまゆう荘,メンバー／黒澤ダイヤ 住所／沼津市西浦江梨986 営業時間／9:00～17:00 定休日／不定休 店舗のホームページを見る ,
赤池カーコミュニケーツシステムズ,メンバー／小原鞠莉 住所／沼津市旭町19 営業時間／9:00～18:00 定休日／日曜日・祝日 店舗のホームページを見る ,
ブルーウォーター,メンバー／高海千歌 住所／沼津市魚町15 営業時間／11:00～22:00 定休日／毎週火曜日 店舗のホームページを見る ,
漁師寿し　網元武田丸,メンバー／国木田花丸 住所／沼津市千本港町115-4 営業時間／11:00～18:00 定休日／なし 店舗のホームページを見る ,
遠藤新聞舗,メンバー／渡辺曜 住所／沼津市大手町5-11-3　4階 営業時間／9:00～17:30 定休日／日曜日・祝日 ※スタンプは建物4階に設置してあります。 店舗のホームページを見る ,
木村屋,メンバー／桜内梨子 住所／沼津市千本港町115-4 営業時間／11:30～15:30 定休日／毎週火曜日 店舗のホームページを見る ,
杉長水産,メンバー／黒澤ルビィ 住所／沼津市千本中町35 営業時間／8:00～17:30 定休日／毎週火・土曜日及び、祭日の前日 店舗のホームページを見る ,
くるら戸田,メンバー／小原鞠莉 住所／沼津市戸田1294-3 営業時間／8:15～22:00 定休日／なし 店舗のホームページを見る ,
coffee 桜,メンバー／桜内梨子 住所／沼津市千本緑町1-1 営業時間／11:00～16:00 定休日／毎週水曜日 ,
鮨庵さいとう みなと旬彩街店,メンバー／渡辺曜 住所／沼津市千本港町115-4 営業時間／平日　11:30～14:00 土日祝日　11:30～15:00 ※夜は営業しておりません。 定休日／毎週木曜日 店舗のホームページを見る ,
沼津ラクーン,メンバー／高海千歌 住所／沼津市大手町3-4-1 1階西側(さんさん通り側) 営業時間／8:50～24:00 定休日／なし 店舗のホームページを見る ,
CBカレーキッチン,メンバー／国木田花丸 住所／沼津市下香貫藤井原1653-1 営業時間／11:00～20:00 定休日／毎週木曜日 ,
THE 3RD PLANET BiVi沼津店,メンバー／松浦果南 住所／沼津市大手町1-1-5 BiVi　3階 営業時間／平日　10:00～24:00 土日祝　9:00～24:00 定休日／年中無休 店舗のホームページを見る ,
千鳥ひものセンター,メンバー／しいたけ 住所／沼津市千本港町128 営業時間／9:00～18:00 定休日／年中無休 店舗のホームページを見る ,
沼津御用邸記念公園,メンバー／黒澤ダイヤ 住所／沼津市下香貫島郷2802-1 営業時間／9:00～16:30 定休日／年中無休 店舗のホームページを見る ,
ホテル沼津キャッスル,メンバー／津島善子 住所／沼津市日の出町1-1 営業時間／年中無休 定休日／年中無休 店舗のホームページを見る ,
内浦漁業協同組合,メンバー／渡辺曜 住所／沼津市内浦三津88-34 営業時間／9:00～15:30 定休日／土曜・日曜・祝日 ,
カラオケ ラジオシティ 沼津駅北店,メンバー／黒澤ダイヤ 住所／沼津市米山町1-5 営業時間／年中無休 定休日／なし 店舗のホームページを見る ,
石田茶業 北口支店,メンバー／小原鞠莉 住所／沼津市高島町12-5 営業時間／9:00～18:00 定休日／不定休 店舗のホームページを見る ,
しーらかんすCafé,メンバー／黒澤ルビィ 住所／沼津市上香貫三園町1381-3 営業時間／平日　11:00～18:00 土日祝　10:00～18:00 定休日／水曜日 店舗のホームページを見る ,
サスナカ長澤水産,メンバー／松浦果南 住所／沼津市獅子浜92 営業時間／9:00～13:00、17:00～19:00 定休日／水・土（不定休）・日(スタンプは7:30～11:30、奥駿河湾日曜市にて設置) ,
増米,メンバー／高海千歌 住所／沼津市獅子浜22-18 営業時間／9:00～18:00 定休日／年中無休 店舗のホームページを見る ,
ダイワロイネットホテルぬまづ,メンバー／津島善子 住所／沼津市大手町1-1-4(プラサ ヴェルデ) 営業時間／年中無休 定休日／なし 店舗のホームページを見る ,
沼津大手町商店街,メンバー／高海千歌 住所／沼津市大手町3-5-21(スタンプは1Fロビーに設置してあります) 営業時間／8：00～22：00 定休日／1月1日、城岡神社祭典時 店舗のホームページを見る ,
岡田金魚店,メンバー／黒澤ルビィ 住所／沼津市本町29 営業時間／10：00～19：00 定休日／木曜日 店舗のホームページを見る ,
富士急シティバス,メンバー／松浦果南 住所／沼津市大手町3-2-1 沼津富士急ビル1F (スタンプは富士急シティバス沼津駅南口窓口に設置しています) 営業時間／平日10：00～18：00土曜日10：00～17：00 定休日／日曜日・祝日 店舗のホームページを見る ,
ミニストップ　沼津内浦店,メンバー／国木田花丸 住所／沼津市内浦小海91-10 営業時間／年中無休 定休日／なし 店舗のホームページを見る ,
翠泉閣,メンバー／桜内梨子 住所／沼津市下香貫林ノ下2031-5 営業時間／年中無休 定休日／なし 店舗のホームページを見る ,
ジャンボエンチョー　沼津店,メンバー／津島善子 住所／沼津市下香貫前原1481-2 営業時間／9：30～19：00 定休日／不定休 店舗のホームページを見る ,
アーケードフルーツ,メンバー／高海千歌 住所／沼津市町方町58 営業時間／9：30～19：30 定休日／水曜日 ,
はごろも荘,メンバー／渡辺曜 住所／沼津市西浦江梨325-2 営業時間／8：00～17：00 定休日／なし 店舗のホームページを見る ,
ココチホテル沼津,メンバー／黒澤ダイヤ 住所／沼津市高島町1-12 営業時間／年中無休 定休日／なし 店舗のホームページを見る ,
伊豆箱根タクシー,メンバー／小原鞠莉 住所／伊豆の国市南条773-2 営業時間／7：00～19：00 定休日／なし 店舗のホームページを見る ,
ヤマカ水産直売所,メンバー／国木田花丸 住所／沼津市五月町4-23 加藤パレス1F 営業時間／11：00～18：00 定休日／月曜日 店舗のホームページを見る ,
肉バル＆ワイン ベルサイユのバル,メンバー／高海千歌 住所／沼津市大手町4-5-4 遊楽館ビル1F 営業時間／11：30～19：00 定休日／不定休 店舗のホームページを見る ,
沼津市芹沢光治良記念館,メンバー／国木田花丸 住所／沼津市我入道蔓陀ヶ原517－1 営業時間／9：00～16：30 定休日／毎週月曜日（休日にあたるときはその翌日）休日の翌日（土曜日・日曜日・休日を除く）年末年始（12月29日～1月3日） 店舗のホームページを見る ,
桃中軒,メンバー／松浦果南 住所／沼津市大手町1-1-1 営業時間／7：00～19：00 定休日／なし ※スタンプは沼津駅南口改札横売店に設置しています。 店舗のホームページを見る ,
café　うみいろ,メンバー／黒澤ルビィ 住所／沼津市千本港町19-5 営業時間／10：00～16：00 定休日／毎週月曜日　※祝日の場合は翌日 店舗のホームページを見る ,
